1.mp3 |   Du hast eine Eins gewürfelt.   ;Du darfst ein Feld weiter gehen.                 
42.mp3 |   Oh schade!    ;Du musst leider bis an den Anfang zurückgehen.                
43.mp3 |   Super!    ;Deine Spielfigur darf bis ans Ende Vorrücken.    Als Belohnung erhältst du 10 zusätzliche Bonuspunkte.                
44.mp3 |   Rachekarte!    ;Du darfst dir eine Spielfigur eines anderen Spielers aussuchen, die das Spielfeld verlassen muss.                
45.mp3 |   Action!    ;Singe ein Lied vor.                
46.mp3 |   Action!    ;Sage ein Gedicht auf.                
47.mp3 |   Action!    ;Heule wie ein Wolf.                
48.mp3 |   Action!    ;Quake wie ein Frosch.                
49.mp3 |   Action!    ;Tanze auf einem Bein.                
50.mp3 |   Action!    ;Mache einen Liegestütz.                
51.mp3 |   Action!    ;Mache drei Hasensprünge.  ;             
52.mp3 |   Mopskarte!    ;Du darfst dir von einem Mitspieler deiner  Wahl,einen Bonuspunkt mopsen.                 
53.mp3 |   Helferkarte!    ;Du musst beim Tisch decken helfen.                 
54.mp3 |   Helferkarte!    ;Du musst beim Abwasch helfen.                 
55.mp3 |   Märchenkarte!   ;Mama, Pappa, Oma oder Opa müssen dir vor dem Schlafengehen ein Märchen oder eine Geschichte vorlesen.                
56.mp3 |   Kuschelkarte!   ;Einmal Extrakuscheln ist jetzt angesagt.                 
57.mp3 |   EXTRAWURF!    ;Du darfst ein mal zusätzlich würfeln.                 
58.mp3 |   Pausekarte!    ;Du musst eine Runde aussetzen.                 
59.mp3 |   Doppelkarte!    ;Wenn du möchtest, darfst du eine oder zwei weitere Ereigniskarten ziehen. Du kannst aber auch darauf verzichten.                
60.mp3 |   Superbonus!    ;Deine Bonuspunkte werden verdoppelt.                
61.mp3 |   Halbe Halbe!   ;Deine Bonuspunkte werden halbiert.    Bei einer ungeraden Zahl behältst du den größeren Teil.                
62.mp3 |   VerschenkKarte!   ; Du darfst einem Mitspieler deiner Wahl Bonuspunkte schenken.                
